"","species","depth_effect","covariate","low","low_se","hi","hi_se","range","range_se","peak","peak_se","reduction","reduction_se"
"114","black eelpout",FALSE,"temp",-2.26486370385176,0.10144177470881,0.727548425993896,0.0467904793826097,2.99241212984566,0.0999850976422018,2.99573227355399,0,0.553298739131009,0.0298511483357638
"115","darkblotched rockfish",FALSE,"temp",-0.655887569269077,0.029228661880858,1.23199915493508,0.0364807096725943,1.88788672420416,0.0437461144366004,2.99573227355399,0,-0.122297838204836,0.0520117748937024
"116","shortbelly rockfish",FALSE,"temp",0.403993434835013,0.0378221076374616,2.52726667428673,0.0491322350991293,2.12327323945172,0.050994031044835,2.99573227355399,0,0.112745483099301,0.0426178633430972
"117","stripetail rockfish",FALSE,"temp",0.227009776249784,0.0300242591850336,2.57498384073309,0.0404816306259271,2.3479740644833,0.0392900334655463,2.99573227355399,0,0.274439885808395,0.0242824497928405
"118","pacific hake",FALSE,"temp",-0.865947810471187,0.0201805994459404,1.63682674731041,0.0222998261874755,2.5027745577816,0.029437923077287,2.99573227355399,0,0.361418212200697,0.0150221453141628
"119","aurora rockfish",FALSE,"temp",-0.927600048695203,0.0188709403045982,0.562972293908345,0.0156858303295352,1.49057234260355,0.0231309295709929,2.99573227355399,0,-0.800337277272867,0.0558758184012646
"120","splitnose rockfish",FALSE,"temp",-0.300127773427589,0.0179610083653869,1.28284174628664,0.0208798350682722,1.58296951971423,0.0222169438870911,2.99573227355399,0,-0.596301369507015,0.044808112236585
"121","chilipepper",FALSE,"temp",0.379369320526496,0.0304547226571561,2.50795790804533,0.0496574555635051,2.12858858751884,0.0465258534865469,2.99573227355399,0,0.117171118291835,0.0385930540498895
"122","cowcod",FALSE,"temp",0.0899622917861721,0.0582229840558589,2.08669756968997,0.087789583948554,1.99673527790379,0.108005260605291,2.99573227355399,0,-0.00327273333792486,0.1085359028024
"123","filetail cat shark",FALSE,"temp",-1.23224553041715,0.0417865466097515,1.02583187827222,0.0280069162058668,2.25807740868937,0.0464441666347736,2.99573227355399,0,0.215519162191854,0.0322704249311768
"124","redbanded rockfish",FALSE,"temp",-0.749171699681609,0.0333404387213,1.06557855295114,0.0396370602845169,1.81475025263275,0.0534588311376359,2.99573227355399,0,-0.214580376900435,0.0715581079849521
