"","species","covariate","depth_effect","low","low_se","hi","hi_se","range","range_se","peak","peak_se","reduction","reduction_se"
"42","Dover sole","temp",TRUE,-8.93459133660213,2.56838593610514,6.08840701434224,1.06355721926069,15.0229983509444,3.44920126138865,2.99573227355399,0,0.982276611713068,0.0081383931233038
"43","rex sole","temp",TRUE,NA,NA,NA,NA,NA,NA,2.99573227355399,0,1.00077504622573,0.00600434814666223
"44","starry flounder","temp",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","flathead sole","temp",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","yellowfin sole","temp",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","English sole","temp",TRUE,-3.1242663161167,1.05819406778871,11.2063218998831,3.44623350793771,14.3305882159998,3.90208306400609,2.99573227355399,0,0.980522556306631,0.0106070458547087
"48","Alaska plaice","temp",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","Pacific herring","temp",TRUE,-2.24366248512661,0.805247098355328,6.05379218821864,0.754943154459943,8.29745467334525,1.24690126946021,2.99573227355399,0,0.941900791756639,0.0174617348006732
"50","sablefish","temp",TRUE,-3.09340630539784,0.366274576568156,7.71391636145679,1.19338903260473,10.8073226668546,1.34383611472572,2.99573227355399,0,0.965752903686926,0.0085169077057628
"51","Pacific grenadier","temp",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","giant grenadier","temp",TRUE,-3.59655040844067,0.769138699929954,0.121765464779713,0.157534432441194,3.71831587322038,0.752579784594347,2.99573227355399,0,0.710687345430439,0.117112619088924
"53","butter sole","temp",TRUE,-4.62589692458899,1.92299853065934,14.7650731723902,7.73439578553981,19.3909700969792,8.82442937686336,2.99573227355399,0,0.989361977168702,0.00968228827281537
"54","Pacific tomcod","temp",TRUE,6.59727972982207,20.1741557669636,28.9963096526459,42.625120115916,22.3990299228238,22.5756745402776,2.99573227355399,0,0.992027370697861,0.016071007090534
"55","walleye pollock","temp",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","lingcod","temp",TRUE,-3.92029558476553,1.18301600337187,8.12263449910911,1.71245054769908,12.0429300838746,2.65004424806881,2.99573227355399,0,0.972419911128959,0.0121379855840556
"57","magistrate armhook squid","temp",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","Atka mackerel","temp",TRUE,-4.23090521385499,0.771846968942219,1.22768240098371,0.238035043633809,5.4585876148387,0.752458414355184,2.99573227355399,0,0.865754597805544,0.0370110693817998
"59","Pacific cod","temp",TRUE,-14.4556694642409,4.52915001339611,5.3776757524401,0.71161557469343,19.833345216681,4.32313134765109,2.99573227355399,0,0.989831238793732,0.00443302830231814
"60","Pacific hake","temp",TRUE,-6.13909832189093,7.40959555735187,3.47020229759346,2.10919814190334,9.60930061948439,8.78366472285537,2.99573227355399,0,0.956681198649626,0.0791936567134003
